,yyyy,mm,tmax,tmin,af,rain,sun
370,1883,11,8.2,2.7,3,107.4, ---
371,1883,12,7.7,2.6,4,54.5, ---
372,1884,1,8.1,3.7,3,113.9, ---
373,1884,2,7.4,2.4,2,88, ---
374,1884,3,9,3.6,2,85.6, ---
375,1884,4,11.2,3.2,2,42.6, ---
376,1884,5,14.6,5.9,0,75.8, ---
377,1884,6,17.4,8.9,0,21.3, ---
378,1884,7,18.4,11.5,0,95.2, ---
379,1884,8,18.8,11.8,0,62.5, ---
380,1884,9,16.8,9.5,0,71.5, ---
381,1884,10,12.2,5.9,0,93.6, ---
382,1884,11,8.2,4.6,0,51.1, ---
383,1884,12,6.2,1.6,6,86.1, ---
384,1885,1,6.5,1.5,6,54.9, ---
385,1885,2,8.9,1.7,7,77.3, ---
386,1885,3,8.5,0.2,16,43.5, ---
387,1885,4,11.1,3.4,2,62.1, ---
388,1885,5,12.6,3.9,1,38, ---
389,1885,6,17,7.2,0,14.1, ---
390,1885,7,19.8,10.2,0,48.5, ---
391,1885,8,18.5,9,0,49.5, ---
392,1885,9,15.3,7.2,0,110.6, ---
393,1885,10,10.1,3.5,3,74.2, ---
394,1885,11,8.8,3.2,5,46.2, ---
395,1885,12,6.9,1.8,11,36, ---
396,1886,1,4.7,-0.8,18,107.9, ---
397,1886,2,5.9,0.7,11,50.4, ---
398,1886,3,7.5,1.3,16,61.6, ---
399,1886,4,11.4,2.5,6,33.1, ---
400,1886,5,13.6,5.1,0,90, ---
401,1886,6,17,8.6,0,41.8, ---
402,1886,7,18.4,10.3,0,76.3, ---
403,1886,8,18.5,10.4,0,63, ---
404,1886,9,15.8,7.7,0,83.6, ---
405,1886,10,13.1,7,0,120.5, ---
406,1886,11,9.7,3.7,0,75, ---
407,1886,12,4.6,1.1,10,106.1, ---
408,1887,1,6.6,1.2,12,54.4, ---
409,1887,2,8.5,1.6,8,34.1, ---
410,1887,3,8.1,0.7,12,25.6, ---
411,1887,4,10.8,1.1,12,37.1, ---
412,1887,5,14.5,5.7,1,34, ---
413,1887,6,21.5,10.3,0,16.9, ---
414,1887,7,20.2,11.7,0,81.9, ---
415,1887,8,18.7,9.9,0,111, ---
416,1887,9,15.2,6.8,0,43.8, ---
417,1887,10,10.6,4.4,2,45.6, ---
418,1887,11,7.4,1.5,7,57.3, ---
419,1887,12,6.2,0.6,11,64.8, ---
420,1888,1,8,2.2,8,38.2, ---
421,1888,2,5.9,-0.1,17,7.4, ---
422,1888,3,6.4,-0.5,18,77, ---
423,1888,4,10.8,2.7,5,42.1, ---
424,1888,5,15.1,5.2,0,55.3, ---
425,1888,6,16.8,8.2,0,123.6, ---
426,1888,7,16.8,9.4,0,110.7, ---
427,1888,8,17.5,9.1,0,64.8, ---
428,1888,9,15.1,6.8,0,23.9, ---
429,1888,10,12.4,5,2,30.5, ---
430,1888,11,10,4.9,1,112.8, ---
431,1888,12,8.3,2.6,7,59.6, ---
432,1889,1,7.5,2,6,56.5, ---
433,1889,2,7,0.4,11,37.5, ---
434,1889,3,9.3,2.2,11,43.5, ---
435,1889,4,10,3.6,0,80.9, ---
436,1889,5,15.7,7.8,0,80.1, ---
437,1889,6,19.1,8.7,0,6.2, ---
438,1889,7,18.6,9.1,0,73.9, ---
439,1889,8,17,10.2,0,169, ---
440,1889,9,16,9,0,53.6, ---
441,1889,10,11.6,4.5,1,84, ---
442,1889,11,9.9,4.5,5,35.1, ---
443,1889,12,8.3,2.7,4,57.6, ---
444,1890,1,8.8,2.6,5,77.4, ---
445,1890,2,6.9,1.5,6,21, ---
446,1890,3,9.9,2.7,8,65.8, ---
447,1890,4,12,2.6,4,33.3, ---
448,1890,5,15.2,6.9,0,35.1, ---
449,1890,6,17.1,9.2,0,64.3, ---
450,1890,7,17.6,9.3,0,58.2, ---
451,1890,8,17.1,8.4,0,86.9, ---
452,1890,9,17.8,10.3,0,72.5, ---
453,1890,10,13.5,6.6,0,60.7, ---
454,1890,11,9.7,2.8,6,154.4, ---
455,1890,12,5.1,0.2,13,39.8, ---
456,1891,1,5.9,0.1,10,31.8, ---
457,1891,2,10.1,2.2,6,5.5, ---
458,1891,3,8.4,0.2,14,44.1, ---
459,1891,4,9.8,1.7,6,55.3, ---
460,1891,5,13.5,4.3,1,53, ---
461,1891,6,18.9,9.7,0,67.8, ---
462,1891,7,18.4,10.5,0,39.4, ---
463,1891,8,17.2,10.4,0,122.6, ---
464,1891,9,17.2,9.4,0,41.5, ---
465,1891,10,12.7,4.4,4,86.5, ---
466,1891,11,8.2,2.3,4,67, ---
467,1891,12,7.8,2,6,109.1, ---
468,1892,1,5.4,-0.5,14,52.6, ---
469,1892,2,6.7,1.4,10,27.5, ---
470,1892,3,7.4,-1,21,18.4, ---
471,1892,4,13.1,1.4,9,17.9, ---
472,1892,5,15.3,6.4,1,129.7, ---
473,1892,6,17.2,7.5,0,65.6, ---
474,1892,7,17.3,9.3,0,67.9, ---
475,1892,8,17.7,10.2,0,196.1, ---
476,1892,9,14.9,7.3,0,57.5, ---
477,1892,10,10.3,2.4,6,59.3, ---
478,1892,11,9.8,3.8,3,94.5, ---
479,1892,12,5.6,0.4,15,38.7, ---
480,1893,1,5.9,1.4,9,52.3, ---
481,1893,2,7.6,1.8,7,59.9, ---
482,1893,3,11.6,3.1,1,25.4, ---
483,1893,4,14.8,4.4,2,26, ---
484,1893,5,16.1,8.3,0,25.7, ---
485,1893,6,19.6,9.8,0,40.6, ---
486,1893,7,19.4,10.8,0,59.6, ---
487,1893,8,19.8,11.6,0,111.5, ---
488,1893,9,16.1,7.8,0,36, ---
489,1893,10,12.7,5.1,2,72.4, ---
490,1893,11,8.2,1.8,10,36.8, ---
491,1893,12,7.7,2.5,5,71, ---
492,1894,1,6.2,0.7,11,119.3, ---
493,1894,2,9,2.5,3,89.9, ---
494,1894,3,11.1,1.9,5,44.8, ---
495,1894,4,12.7,5.7,0,65.6, ---
496,1894,5,12.6,3.8,4,65.8, ---
497,1894,6,16.7,7.9,0,77.3, ---
498,1894,7,18.7,10.5,0,86.5, ---
499,1894,8,16.7,10,0,59.2, ---
500,1894,9,15.4,5.6,0,2, ---
501,1894,10,12.4,5,5,112.3, ---
502,1894,11,10.2,4,3,51.2, ---
503,1894,12,8.1,2.6,6,69, ---
504,1895,1,2.9,-2.5,21,53.2, ---
505,1895,2,3.1,-4.2,22,9.7, ---
506,1895,3,8.9,2.8,6,85.5, ---
507,1895,4,11.8,3.6,4,29.1, ---
508,1895,5,16.9,6.1,0,6.7, ---
509,1895,6,20,8,0,56.9, ---
510,1895,7,17.8,9.6,0,134, ---
511,1895,8,18.1,10.3,0,115.3, ---
512,1895,9,19,9.8,0,30.6, ---
513,1895,10,10.7,2.7,9,81, ---
514,1895,11,9.5,3.4,5,76.6, ---
515,1895,12,5.9,1.3,7,93.8, ---
516,1896,1,8,3.1,5,41.6, ---
517,1896,2,9.2,4,0,32.2, ---
518,1896,3,9.8,2.6,1,73.2, ---
519,1896,4,13.4,5.2,0,32.3, ---
520,1896,5,17.6,6.7,1,15.8, ---
521,1896,6,19.4,10.1,0,84.2, ---
522,1896,7,18.3,10,0,172.7, ---
523,1896,8,17.4,8.6,0,41.4, ---
524,1896,9,15.3,8.2,0,124.4, ---
525,1896,10,9.8,2.3,7,55.9, ---
526,1896,11,8.3,2.1,7,22.4, ---
527,1896,12,6.6,0.7,8,86.8, ---
528,1897,1,5.4,-1.3,18,38, ---
529,1897,2,8.9,3.5,2,46.9, ---
530,1897,3,9.3,2.6,6,103.3, ---
531,1897,4,10.2,1.9,5,77.3, ---
532,1897,5,14.2,4.4,0,50.6, ---
533,1897,6,17.4,9.6,0,127.1, ---
534,1897,7,20,10.5,0,48.8, ---
535,1897,8,18.5,10.4,0,144.7, ---
536,1897,9,15.7,6.7,0,31.2, ---
537,1897,10,13.5,6.5,0,57.6, ---
538,1897,11,10.7,4.6,2,64.3, ---
539,1897,12,8.4,2.2,7,108.7, ---
540,1898,1,9.5,4.9,1,41.5, ---
541,1898,2,7.7,1.2,8,81.2, ---
542,1898,3,8.8,0.8,13,21.5, ---
543,1898,4,12.9,4.3,1,74.6, ---
544,1898,5,13.9,4.8,0,91.9, ---
545,1898,6,17.3,8.3,0,67.7, ---
546,1898,7,19,8.8,0,14.3, ---
547,1898,8,19.1,10.5,1,88.7, ---
548,1898,9,18.2,10.5,0,111.6, ---
549,1898,10,13.4,7.4,0,81.3, ---
550,1898,11,9.5,3.8,4,64.6, ---
551,1898,12,9.8,4.6,2,64.6, ---
552,1899,1,6.9,0.8,11,67.1, ---
553,1899,2,8.3,1.9,6,68, ---
554,1899,3,10.3,1.8,11,44.5, ---
555,1899,4,11.4,3.7,3,90.5, ---
556,1899,5,14.1,5,0,96.1, ---
557,1899,6,20.1,9.6,0,71.2, ---
558,1899,7,19.1,11.9,0,40.3, ---
559,1899,8,21.5,11.7,0,54.3, ---
560,1899,9,16.1,8.3,0,92.6, ---
561,1899,10,13.9,5,1,43, ---
562,1899,11,11.4,6.6,0,70.3, ---
563,1899,12,6.4,1.5,8,92.6, ---
564,1900,1,7.4,2.1,3,68.3, ---
565,1900,2,5.4,-1.2,16,61.8, ---
566,1900,3,7.2,0.8,11,17.6, ---
567,1900,4,13,4.3,1,51.1, ---
568,1900,5,14.4,5.9,0,67.6, ---
569,1900,6,18.4,9.7,0,75, ---
570,1900,7,19.9,11.9,0,81, ---
571,1900,8,18,10,0,115.6, ---
572,1900,9,17.4,8.4,0,53.3, ---
573,1900,10,12.5,5,0,93, ---
574,1900,11,9.1,3.1,5,143.6, ---
575,1900,12,9.4,4.4,0,94.9, ---
576,1901,1,6.8,2.3,4,85.4, ---
577,1901,2,6.3,0.1,11,32.2, ---
578,1901,3,7.7,1,8,55.4, ---
579,1901,4,12.8,3.5,0,72.8, ---
580,1901,5,16.9,5.4,0,56.2, ---
581,1901,6,17,8.6,0,48.2, ---
582,1901,7,20.8,12.2,0,22.1, ---
583,1901,8,18.7,10.4,0,107.4, ---
584,1901,9,16.3,9.6,0,83, ---
585,1901,10,12.5,5.4,1,80.2, ---
586,1901,11,9.2,3.7,5,98.6, ---
587,1901,12,6,0.7,13,83.1, ---
588,1902,1,6.9,2.1,11,49.9, ---
589,1902,2,5,-0.5,11,67.9, ---
590,1902,3,10.2,4,3,42.7, ---
591,1902,4,11.9,3.1,5,59.5, ---
592,1902,5,12.9,4.5,0,119.5, ---
593,1902,6,16.1,8.9,0,41.6, ---
594,1902,7,17.5,10,0,116.2, ---
595,1902,8,17.7,9.5,0,50.9, ---
596,1902,9,16.8,9,0,75.9, ---
597,1902,10,12.6,6,0,40.1, ---
598,1902,11,10,4.5,1,72.4, ---
599,1902,12,7.4,2.9,6,72.3, ---
600,1903,1,6.5,1.2,8,119.2, ---
601,1903,2,10.2,4.2,2,75, ---
602,1903,3,9.6,2.4,1,104.7, ---
